cluster_key,num_nodes,num_inc_switches,num_graph_vertices,num_graph_edges,num_pods,total_scheduling_time_ms
tree_4_8_1_2_0.400000,32,13,55,54,10,89
tree_4_8_1_2_0.400000,32,13,55,54,10,126
tree_4_8_1_2_0.400000,32,13,55,54,10,132
tree_4_8_1_2_0.400000,32,13,55,54,10,141
tree_4_8_1_2_0.400000,32,13,55,54,10,150
tree_8_16_1_2_0.400000,128,22,175,174,10,117
tree_8_16_1_2_0.400000,128,22,175,174,10,130
tree_8_16_1_2_0.400000,128,22,175,174,10,169
tree_8_16_1_2_0.400000,128,22,175,174,10,116
tree_8_16_1_2_0.400000,128,22,175,174,10,165
tree_8_16_1_2_0.800000,128,37,175,174,10,123
tree_8_16_1_2_0.800000,128,37,175,174,10,111
tree_8_16_1_2_0.800000,128,37,175,174,10,170
tree_8_16_1_2_0.800000,128,37,175,174,10,116
tree_8_16_1_2_0.800000,128,37,175,174,10,43
tree_8_32_4_2_0.500000,256,94,447,446,10,176
tree_8_32_4_2_0.500000,256,94,447,446,10,93
tree_8_32_4_2_0.500000,256,94,447,446,10,168
tree_8_32_4_2_0.500000,256,94,447,446,10,58
tree_8_32_4_2_0.500000,256,94,447,446,10,165
